Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
33.82514190673828,26.211262820916616,26.02444,26.2297294481694,26.17734,26.062615942839386,26.0658,26.104282123929142,26.16846,26.103773777852776,26.20627,25.798472621072687,25.89886,25.883841628572227,26.00522,25.78109685803484,25.91028
33.90097689628601,26.215098406592464,26.01913,26.229659617966828,26.16846,26.060855452576188,26.05789,26.103297616615194,26.16568,26.103690386256854,26.20691,25.79923288612298,25.90112,25.885054460192762,26.00626,25.782682613878407,25.90985
33.97689604759216,26.2189382490057,26.01471,26.229589710266616,26.16327,26.05909300851888,26.05423,26.102314537364112,26.16354,26.103606902112844,26.20657,25.7999939949163,25.9014,25.88626863781522,26.00833,25.784170060321937,25.91162
34.051761865615845,26.22272481587852,26.00995,26.22952077249436,26.15771,26.057355017329545,26.05035,26.101348092613918,26.15961,26.103524576261915,26.20419,25.800744543775668,25.90219,25.887465969441923,26.01099,25.785636869326584,25.91583
34.13291597366333,26.22682943218057,26.00684,26.22944604435319,26.15326,26.055623741662664,26.04639,26.10039839539957,26.15741,26.103435335521908,26.20404,25.80155813434124,25.90292,25.888763869909283,26.01251,25.787226881692586,25.91629
34.20638704299927,26.23054545538852,26.00253,26.229378390890247,26.1442,26.054651868883354,26.04068,26.099538608118774,26.15594,26.103310998616973,26.20401,25.802294700490414,25.90363,25.889938895271804,26.01248,25.788666364074906,25.91818
34.284127950668335,26.241828897229727,26.00052,26.229306805684487,26.14038,26.053623514829372,26.03735,26.098665098089896,26.15378,26.10317735910405,26.20319,25.80307407285443,25.9043,25.89118220830702,26.01379,25.79018950329129,25.91989
34.35684394836426,26.253648216075796,26.00021,26.229239847504896,26.1366,26.053025121027286,26.03201,26.097974306960648,26.14853,26.103049964842885,26.2016,25.803803069218446,25.90552,25.89234515778259,26.01697,25.791614191927813,25.92212
34.429951906204224,26.265531244450226,25.99948,26.229172528401456,26.13293,26.05258704692997,26.02881,26.097279792268512,26.14621,26.102925637293165,26.20111,25.80437328452408,25.90607,25.893514375890348,26.01819,25.792935213638444,25.92361
34.513957023620605,26.27918550622076,25.99725,26.230584866302234,26.12674,26.052240701354414,26.02475,26.09660696425103,26.14569,26.102789105991643,26.19977,25.805028212648867,25.90591,25.894717786114697,26.01849,25.794387334601286,25.92545
34.58815884590149,26.291246332232728,25.99738,26.236954043778773,26.12387,26.052430512358573,26.02237,26.09623419695224,26.14386,26.10269192029278,26.19922,25.805606711457237,25.90585,25.89569625865332,26.01959,25.795669994812105,25.92703
34.6586709022522,26.302707420616414,26.0014,26.243006507011195,26.11996,26.052610884805095,26.01569,26.095879965910868,26.13861,26.10260721898997,26.19818,25.806156443786183,25.9079,25.896626075585843,26.022,25.79688887335557,25.92871
34.732994079589844,26.31478797178041,26.00204,26.249386101103802,26.11725,26.05337851913316,26.01382,26.095506588961324,26.13776,26.102523646355543,26.198,25.806723283077066,25.90875,25.897606148389617,26.02277,25.798173631322186,25.9295
34.81015992164612,26.327330572036033,26.00516,26.256009697776708,26.11533,26.05449629264428,26.01218,26.0951189313322,26.13504,26.102500471069973,26.19568,25.807278808919392,25.90729,25.89862370638281,26.02411,25.799507527878866,25.93192
34.888025999069214,26.342557807956137,26.00809,26.262693399756863,26.11368,26.055624209303247,26.0098,26.09527617955042,26.13309,26.102477085482093,26.1947,25.807839375837297,25.90775,25.899650498126014,26.02536,25.800853528774976,25.93375
34.96267604827881,26.361533823723487,26.01373,26.2691010511788,26.10977,26.056888523593962,26.00449,26.095635333313105,26.13058,26.102547861496465,26.19489,25.808376790195283,25.90869,25.900618806421274,26.02585,25.802020929650492,25.93433
35.039424896240234,26.381043353381706,26.01843,26.27568885480357,26.10825,26.059328715430155,26.00287,26.096004584744538,26.12881,26.102693893990534,26.19394,25.80892931404878,25.90869,25.901511949144975,26.0264,25.803181922242615,25.93491
35.11716604232788,26.40080512486814,26.02637,26.282361833194685,26.10977,26.061800456896748,26.00101,26.096378610286763,26.1254,26.102841814562066,26.19125,25.80950232124319,25.90909,25.902416639453754,26.02911,25.80435792549358,25.9379
35.188925981521606,26.419046475704775,26.03232,26.288521409528276,26.10977,26.064082028834797,25.99942,26.096723859251025,26.12347,26.102978354499445,26.19034,25.810037941625534,25.90921,25.903251725181377,26.02991,25.805443450032747,25.93906
35.265673875808716,26.438555762939323,26.04031,26.295109131293586,26.10733,26.066522190349385,25.99719,26.09709310609417,26.12323,26.103124385178926,26.19034,25.810610792396364,25.90891,25.90414485680697,26.02905,25.806604428198476,25.94022
35.34042501449585,26.457557475615648,26.04697,26.3015254598181,26.10797,26.070496645610145,25.99612,26.09781270297956,26.12213,26.103507135989133,26.18918,25.811168739266634,25.90857,25.905014751761488,26.02991,25.807735201110038,25.94089
35.42314696311951,26.478585365322473,26.06061,26.309904438632998,26.11093,26.07513954362164,25.99402,26.09949031588674,26.11719,26.1040267648692,26.1879,25.81178618072837,25.90979,25.905977404732393,26.03284,25.808986549789644,25.94241
35.49192190170288,26.496067930073266,26.06949,26.320884026342593,26.11191,26.078999644004938,25.99313,26.100885081442648,26.11603,26.104458783757867,26.18701,25.812299520891607,25.90967,25.906738487468008,26.03314,25.809917511485907,25.9426
35.56955885887146,26.517541573054405,26.0802,26.333278392637887,26.11383,26.083357138963095,25.99359,26.102459569998434,26.11658,26.104946470590402,26.18555,25.812994303180457,25.90814,25.90758260939346,26.03326,25.81095536979825,25.94598
35.64557194709778,26.53880526728132,26.09012,26.34541351607746,26.11612,26.087623491751508,25.99396,26.104001126260645,26.11548,26.105423956875033,26.1846,25.813683785230257,25.90842,25.908409075508743,26.03406,25.81197152007435,25.94632
35.72262787818909,26.56036068353039,26.10696,26.357715124357867,26.11957,26.091948375717497,25.99149,26.10556383152478,26.11276,26.10642211111721,26.18454,25.81438272645943,25.90961,25.909246880122588,26.03522,25.813001611174197,25.94638
35.79702186584473,26.58117145497439,26.11774,26.369591766189274,26.12231,26.09782028321544,25.99173,26.10707255219667,26.1124,26.10742060219477,26.18369,25.81505752234391,25.90967,25.910055742272682,26.03513,25.81399611715811,25.94678
35.87318301200867,26.602476566525436,26.13385,26.381750526365508,26.12866,26.104120043314296,25.99466,26.109915556879223,26.11145,26.108442811479392,26.18176,25.815748347363623,25.90842,25.910883818174796,26.03702,25.815014246686964,25.95026
35.95682692527771,26.62587488696204,26.14584,26.395103874271417,26.13281,26.111038749424498,25.99512,26.11313864308865,26.11053,26.10956545194703,26.18085,25.816616161050476,25.9086,25.911816221163583,26.03741,25.81612908308254,25.95062
36.02958607673645,26.646228333781913,26.16406,26.40671952237772,26.13638,26.11705710947123,25.99564,26.11594230217765,26.11053,26.110542000803086,26.18164,25.817559051623384,25.90894,25.912666988045743,26.03702,25.817023132960884,25.95062
36.10189199447632,26.666454994235956,26.17691,26.41826281390368,26.14136,26.123037979749995,25.99744,26.118728496620488,26.11084,26.111512466508625,26.18097,25.81849606871107,25.9086,25.913512455302627,26.03741,25.817911613594077,25.9509
36.177289962768555,26.684917203678786,26.19705,26.430299736408326,26.15149,26.129274612680383,25.99966,26.121633838352167,26.1091,26.112989237069097,26.1792,25.81947315588284,25.90918,25.914394077656915,26.03909,25.818838088725077,25.95386
36.251116037368774,26.699908218494578,26.21143,26.442085713655633,26.15646,26.13653812665014,26.00195,26.124478609640843,26.10855,26.114708809677833,26.17886,25.820429872782082,25.909,25.915257319985205,26.04004,25.819745248741263,25.95346
36.32934594154358,26.715793468507847,26.2309,26.45478280461425,26.16299,26.144531816701967,26.00519,26.12766451599238,26.11157,26.116530957220302,26.17902,25.821443659195022,25.90823,25.916172055937068,26.03888,25.820706522133104,25.95502
36.40503692626953,26.731163169248312,26.24475,26.467954066099296,26.16937,26.152266074822304,26.00772,26.13147163237808,26.11182,26.118293967711754,26.17886,25.8224245435858,25.90768,25.917057104508853,26.03952,25.821636597791343,25.95526
36.483152866363525,26.747025277881882,26.26944,26.48154730282165,26.18002,26.160248119793536,26.01074,26.135517100760545,26.11017,26.120113460778647,26.17853,25.823436853130808,25.90945,25.91797050788792,26.04105,25.82259647081539,25.95633
36.556288957595825,26.761876185683356,26.28409,26.49407167461493,26.18674,26.167721313722126,26.0134,26.139538631228934,26.1106,26.121816962148237,26.17844,25.824587001625883,25.90942,25.91882568229641,26.04111,25.823495152454164,25.95609
36.63218188285827,26.77728689217404,26.30481,26.506942488524455,26.19727,26.175476206535482,26.0199,26.143841857066906,26.11301,26.12381562975791,26.17789,25.82613310600233,25.90805,25.91971309214258,26.04153,25.824427709517266,25.95773
36.71033191680908,26.793155923856347,26.32037,26.52016039747186,26.2052,26.183946472874624,26.02365,26.14847474783788,26.11432,26.126441497399554,26.17755,25.827725192604515,25.90808,25.920626894178362,26.04208,25.825388001479794,25.9595
36.78305888175965,26.807923755072967,26.3447,26.531864376734053,26.21591,26.19196360171862,26.02676,26.152929856636128,26.11578,26.128885148083814,26.17926,25.82920679946585,25.90936,25.921567179917876,26.04214,25.82630449765286,25.95883
36.85843205451965,26.823228921380093,26.3605,26.54399421126666,26.22354,26.200272437895247,26.03082,26.15768612643643,26.11737,26.131417712247806,26.17902,25.830742315350477,25.90967,25.92275014805017,26.04227,25.82730655910657,25.95816
36.934048891067505,26.838583565699878,26.38303,26.55569818241303,26.23785,26.208608134590296,26.03952,26.16261842931847,26.11887,26.133958463597697,26.17841,25.83228279519778,25.90836,25.923936940440953,26.04391,25.828311859989913,25.96152
37.010303020477295,26.854067617776842,26.39883,26.566867222711608,26.24658,26.216999848991918,26.04306,26.167702272816875,26.12003,26.136520628203854,26.17844,25.833836258090336,25.90994,25.925133735026407,26.0441,25.82932563347151,25.96161
37.08844804763794,26.86113948966439,26.42194,26.578313225233,26.25732,26.225593508492366,26.0491,26.17299317249769,26.1243,26.139146327615652,26.18048,25.83542824269329,25.90939,25.9263602069055,26.04352,25.83036454581458,25.96158
37.16211700439453,26.866070084106422,26.43741,26.58872950816006,26.2662,26.233694931617066,26.05423,26.17813000022334,26.12656,26.142193352540612,26.18085,25.836929039981783,25.90942,25.92751642767996,26.0434,25.831343950279027,25.96194
37.239197969436646,26.871229041074944,26.4617,26.598215541898497,26.28226,26.242171575513755,26.06107,26.18351366849355,26.12766,26.145388948484186,26.18137,25.838499347319132,25.91019,25.928726199299124,26.04602,25.832368716267442,25.96332
37.31675887107849,26.87642011975165,26.47733,26.6077606394379,26.29163,26.250379751975686,26.06677,26.189084225922887,26.12912,26.148604441473033,26.18213,25.840542362929256,25.91104,25.929943503435258,26.0459,25.83339986285454,25.96362
37.39540886878967,26.881684090610662,26.49762,26.6174397675003,26.30444,26.258557520145555,26.0762,26.19473300410613,26.13565,26.1518650858294,26.18369,25.842850162887274,25.91,25.93117790073459,26.04556,25.834445488614406,25.96463
37.46904897689819,26.886612754239636,26.51312,26.625664878642663,26.31396,26.266214376466475,26.0816,26.20008981232459,26.13748,26.155100825620174,26.18457,25.845010959369752,25.91037,25.93233366873481,26.04559,25.8354245095456,25.9649
37.54198408126831,26.891494232627128,26.53665,26.63241946408861,26.32864,26.273797928816652,26.08838,26.205409059670636,26.14005,26.158486339890565,26.18643,25.84715106916888,25.91302,25.933478371830564,26.04651,25.83639415768479,25.96515
