Time (s),T_model_0_x3.0mm (°C),T_exp_0_x3.0mm (°C),T_model_1_x8.0mm (°C),T_exp_1_x8.0mm (°C),T_model_2_x13.0mm (°C),T_exp_2_x13.0mm (°C),T_model_3_x18.0mm (°C),T_exp_3_x18.0mm (°C),T_model_4_x23.0mm (°C),T_exp_4_x23.0mm (°C),T_model_5_x28.0mm (°C),T_exp_5_x28.0mm (°C),T_model_6_x33.0mm (°C),T_exp_6_x33.0mm (°C),T_model_7_x38.0mm (°C),T_exp_7_x38.0mm (°C)
224.04833483695984,29.53271350740744,29.98294,29.53416366161583,29.82861,29.475586300501938,29.52505,29.398047533958632,29.52823,29.327368984651034,29.52087,29.273906010346924,29.22235,29.23841536831559,29.32343,29.2180614797306,29.24768
224.12286901474,29.521998683833196,29.97879,29.52767762202486,29.83188,29.473276728246255,29.5325,29.39833508001445,29.53226,29.32868203595188,29.52182,29.275280437198578,29.22275,29.23949622093574,29.32529,29.218890627770815,29.24979
224.19951391220093,29.51134610709075,29.96771,29.520988025386483,29.83417,29.470727631335862,29.53882,29.398463520267608,29.5376,29.32993179821746,29.52554,29.276657864093824,29.22571,29.240613006246846,29.32556,29.219767320846245,29.2496
224.2759850025177,29.50111031685899,29.96188,29.514329491554893,29.83453,29.468030056539703,29.54102,29.3984292490815,29.54013,29.33107577654525,29.52805,29.277992390334077,29.22714,29.241729833074658,29.32605,29.220664505434826,29.24976
224.3514928817749,29.49140515546621,29.95251,29.507801548869796,29.83447,29.46523572034009,29.5481,29.398243245277836,29.54742,29.33210374005321,29.53342,29.27926809684731,29.22986,29.242832452915376,29.32562,29.221570549706254,29.24936
224.4265959262848,29.482133624983184,29.94272,29.501365084592457,29.83417,29.462340436136486,29.55032,29.397915527412042,29.55035,29.333027819929825,29.53552,29.28049446443223,29.23044,29.243927133160653,29.32629,29.222489742170495,29.2507
224.51806092262268,29.47133555773424,29.93262,29.49361741260992,29.83517,29.458676817164726,29.55405,29.39733464156712,29.55212,29.334023277339544,29.5386,29.281929201235247,29.23395,29.24525485511197,29.32886,29.223630762923346,29.25076
224.58106184005737,29.46420051927565,29.92429,29.488348051085747,29.83496,29.45607670423769,29.55658,29.396824748752206,29.55457,29.33462749252848,29.54126,29.282878933685357,29.23535,29.246164265242427,29.33029,29.22442885283724,29.25278
224.66306495666504,29.455267516636464,29.90784,29.481582904875083,29.83249,29.452612894188853,29.56155,29.396034888347852,29.56216,29.33531636952886,29.54483,29.28406687212848,29.23529,29.247339641692538,29.33054,29.22548047279049,29.25308
224.736065864563,29.44763834083899,29.89877,29.47565946359564,29.83139,29.449466150527957,29.56277,29.39521865469906,29.56494,29.335838472053148,29.54675,29.285077437400858,29.23636,29.248376246334942,29.33194,29.226427047155266,29.25259
