Cycle_Number (n),Net_Flux (J)
1,35.372143486241455
2,32.29741613856808
3,29.286746396936692
4,26.46175630404464
5,28.3353629132897
6,30.31825059895303
7,27.85153533521121
8,25.5252702204384
9,22.9040030563377
10,20.618510783547023
11,18.628588428424038
12,16.08026409359121
13,14.171899708003266
14,16.68789317080045
15,19.576509971198433
16,17.56315321253861
17,15.793374873178479
18,13.84805112015259
19,12.058631467332447
20,9.983040839071592
21,8.727980610668055
22,6.885618991202065
23,9.160960174026087
24,13.207717772065422
25,10.900751096221796
26,9.801944967367646
27,8.126252049862146
28,7.008650166420537
29,4.997382535171212
30,3.5312862401833485
31,6.676632045998787
32,10.429179013678663
33,8.84525241995874
34,6.3867061897071835
35,6.246583940224852
36,4.498314917359579
37,2.612039127409389
38,1.4195587265183605
39,0.21765414520395154
40,3.0022231915722983
41,6.77286505356453
42,5.295157716467372
43,4.667269364550762
44,2.7309966149205422
45,1.361913795082998
46,0.11456401341865785
47,-1.2957350120961877
48,2.2804017338820017
49,5.687915339874763
50,4.700029193877981
51,3.8490833794941324
52,3.092599169037811
53,1.4804905131750274
54,0.6014260981091155
55,-1.6797997678211374
56,-3.042261249077839
57,0.48407765426271965
58,3.81109674425808
59,2.312046621466365
